Time,MAX,MIN,AVG
119.075,0.455394357,-0.148433432,0.098200448
119.08,0.513408005,-0.175162226,0.098200448
119.085,0.499132395,-0.143573657,0.099111661
119.09,0.495183825,-0.118971013,0.098504186
119.095,0.446282268,-0.157849267,0.098807923
119.1,0.473314822,-0.163012773,0.098504186
119.105,0.46693635,-0.154204428,0.099415392
119.11,0.461772829,-0.153293207,0.098807923
119.115,0.474226028,-0.2201152,0.099415392
119.12,0.517052829,-0.143269926,0.098807923
119.125,0.4766559,-0.143573657,0.09789671
119.13,0.469973713,-0.152685732,0.098504186
119.135,0.555323541,-0.154508159,0.098504186
119.14,0.463595271,-0.138410136,0.098200448
119.145,0.497613728,-0.156634316,0.099415392
119.15,0.46238029,-0.136587709,0.09759298
119.155,0.457520515,-0.136587709,0.098200448
119.16,0.503384709,-0.157241777,0.09789671
119.165,0.492450178,-0.156938046,0.098200448
119.17,0.465417653,-0.146003544,0.098504186
119.175,0.492753953,-0.142358705,0.098504186
119.18,0.494272619,-0.153900683,0.098504186
119.185,0.458735466,-0.123830788,0.099111661
119.19,0.460254133,-0.166657612,0.098807923
119.195,0.500043631,-0.123830788,0.098807923
119.2,0.474529743,-0.132031664,0.098807923
119.205,0.480908215,-0.173036069,0.09971913
119.21,0.500043631,-0.145699814,0.09971913
119.215,0.472403586,-0.15147078,0.098807923
119.22,0.459950417,-0.144484863,0.098807923
119.225,0.472403586,-0.201283544,0.098807923
119.23,0.455090612,-0.132031664,0.098504186
119.235,0.482730627,-0.13294287,0.099111661
119.24,0.558968425,-0.143877387,0.099111661
119.245,0.468455046,-0.130816713,0.098807923
119.25,0.461772829,-0.161797836,0.09789671
119.255,0.467543811,-0.13689144,0.098504186
119.26,0.483338118,-0.136587709,0.09789671
119.265,0.473314822,-0.170302451,0.098807923
119.27,0.463291496,-0.160582885,0.099415392
119.275,0.502777219,-0.195816293,0.098504186
119.28,0.468758762,-0.128083095,0.099111661
119.285,0.463595271,-0.164531454,0.098807923
119.29,0.499132395,-0.179110795,0.098807923
119.295,0.522520065,-0.166050136,0.09971913
119.3,0.465113908,-0.146307275,0.09971913
119.305,0.479693264,-0.130816713,0.100022867
119.31,0.477263361,-0.164227724,0.099415392
119.315,0.479389518,-0.141143769,0.098504186
119.32,0.484856784,-0.131120473,0.098504186
119.325,0.475440949,-0.15997541,0.098807923
119.33,0.481819421,-0.138106391,0.09971913
119.335,0.489109099,-0.163012773,0.099111661
119.34,0.477567106,-0.123830788,0.098807923
119.345,0.445674807,-0.167568833,0.098807923
119.35,0.455090612,-0.162101567,0.098504186
119.355,0.472707331,-0.143269926,0.098504186
119.36,0.497309953,-0.158152997,0.098200448
119.365,0.47604844,-0.145396054,0.098504186
119.37,0.458735466,-0.159671679,0.098504186
119.375,0.496702492,-0.130512983,0.098200448
119.38,0.473922282,-0.151774541,0.098200448
119.385,0.489109099,-0.163923994,0.099415392
119.39,0.453571916,-0.162405297,0.098807923
119.395,0.473011047,-0.159367934,0.098807923
119.4,0.512800515,-0.222545087,0.099111661
119.405,0.471188664,-0.125653207,0.099415392
119.41,0.494272619,-0.200068593,0.098807923
119.415,0.467240065,-0.159064204,0.098807923
119.42,0.466632605,-0.133550361,0.098504186
119.425,0.482426882,-0.15086332,0.099111661
119.43,0.452053279,-0.160279155,0.099415392
119.435,0.471796125,-0.161190346,0.099111661
119.44,0.47209987,-0.138106391,0.100022867
119.445,0.51766032,-0.13689144,0.099111661
119.45,0.440511286,-0.149344653,0.098200448
119.455,0.469973713,-0.138713866,0.098504186
119.46,0.486679196,-0.15572311,0.099111661
119.465,0.504599631,-0.143269926,0.098807923
119.47,0.468758762,-0.159064204,0.098504186
119.475,0.501258552,-0.154204428,0.098807923
119.48,0.47604844,-0.149648383,0.098200448
119.485,0.450534582,-0.156634316,0.098807923
119.49,0.453875691,-0.125653207,0.098504186
119.495,0.459950417,-0.17425102,0.09971913
119.5,0.54499656,-0.147522226,0.099415392
119.505,0.462076575,-0.123223327,0.100022867
119.51,0.493361413,-0.13689144,0.098807923
119.515,0.4766559,-0.158760458,0.098807923
119.52,0.498524934,-0.120489694,0.098807923
119.525,0.496398777,-0.203105971,0.099111661
119.53,0.459646672,-0.154811889,0.099111661
119.535,0.463595271,-0.1924752,0.098807923
119.54,0.53649193,-0.14175123,0.099415392
119.545,0.478478342,-0.139625087,0.099111661
119.55,0.468758762,-0.156938046,0.098504186
119.555,0.467543811,-0.195816293,0.099111661
119.56,0.488805354,-0.16999872,0.098807923
119.565,0.474226028,-0.161494106,0.099415392
119.57,0.499132395,-0.142966166,0.099415392
119.575,0.484553039,-0.125045732,0.098504186
119.58,0.494272619,-0.172124863,0.099111661
119.585,0.501258552,-0.128994316,0.099415392
119.59,0.525557399,-0.15572311,0.09971913
119.595,0.487286657,-0.157241777,0.099111661
119.6,0.464810193,-0.172732338,0.099415392
119.605,0.449623376,-0.127779365,0.099415392
119.61,0.489109099,-0.138713866,0.099415392
119.615,0.473011047,-0.134461552,0.098807923
119.62,0.47149241,-0.13233541,0.099415392
119.625,0.474833488,-0.182148173,0.09971913
119.63,0.464202732,-0.129601777,0.099415392
119.635,0.511889279,-0.131120473,0.099111661
119.64,0.493361413,-0.150255844,0.099111661
119.645,0.478174597,-0.162405297,0.099111661
119.65,0.446586013,-0.140536278,0.098807923
119.655,0.476352185,-0.144181117,0.099111661
119.66,0.44810468,-0.131424204,0.098807923
119.665,0.465721369,-0.190956518,0.098504186
119.67,0.474833488,-0.1371952,0.099415392
119.675,0.50794071,-0.142054975,0.098807923
119.68,0.500043631,-0.158456728,0.099111661
119.685,0.468758762,-0.172124863,0.09971913
119.69,0.461165369,-0.130512983,0.099415392
119.695,0.516749084,-0.136587709,0.09971913
119.7,0.486375481,-0.178807065,0.098807923
119.705,0.470884919,-0.138713866,0.09971913
119.71,0.484856784,-0.156634316,0.099415392
119.715,0.498524934,-0.153596953,0.099415392
119.72,0.463595271,-0.127171889,0.098807923
119.725,0.543174088,-0.131727934,0.099111661
119.73,0.493968874,-0.186096743,0.099111661
119.735,0.515534163,-0.154508159,0.099415392
119.74,0.4851605,-0.145092323,0.099415392
119.745,0.495183825,-0.13294287,0.100022867
119.75,0.498524934,-0.1924752,0.099415392
119.755,0.444459856,-0.139017597,0.09971913
119.76,0.518875241,-0.17455475,0.099415392
119.765,0.46693635,-0.15116705,0.098807923
119.77,0.483945578,-0.134461552,0.098807923
